full_name;age;height_cm;weight_kgs;positions;nationality;potential;value_euro;finishing;short_passing;dribbling;freekick_accuracy;long_passing;ball_control;acceleration;sprint_speed;agility
Zechariah Medley;18;193.04;74.8;CB;England;78;375000.0;25;43;34;29;37;41;54;52;49
Marco Drawz;20;152.4;71.2;ST,RM,CAM;Poland;75;450000.0;62;57;68;41;49;65;72;64;73
Jaime Garijo;19;152.4;68.9;CM;Spain;73;375000.0;52;65;58;51;58;60;65;64;60
Bahadır Öztürk;23;185.42;74.8;CB;Turkey;65;240000.0;26;39;30;34;31;32;57;61;35
Cristian Osvaldo González Bautista;21;167.64000000000001;59.9;RB,LB;Mexico;72;325000.0;30;37;58;38;30;48;72;75;69
Sebastjan  Spahiu;19;172.72;73.9;CM;Belgium;72;350000.0;41;64;61;46;61;62;69;66;70
Tyron Ivanof;21;175.26;69.9;CAM,RW,LW;Belgium;69;325000.0;48;60;64;60;51;66;76;62;70
Diego Abella;20;182.88;74.8;ST;Mexico;70;325000.0;68;54;50;39;33;51;64;60;56
Igoh Ogbu;19;187.96;78.0;CB,CM;Nigeria;73;325000.0;40;63;48;30;54;57;68;65;67
Sincere Seth;20;170.18;64.9;RB,CB;Nigeria;72;325000.0;34;45;65;33;33;56;70;68;65
Mateo Mužek;23;182.88;81.2;LB;Croatia;65;230000.0;26;59;57;30;55;58;69;68;61
Dejan Vokic;22;190.5;78.9;CDM;Slovenia;67;250000.0;43;67;59;41;61;61;59;62;62
田上 大地;25;154.94;78.0;CB;Japan;63;220000.0;36;46;44;31;41;47;69;65;65
Oliver Sail;23;193.04;79.8;GK;New Zealand;67;210000.0;18;27;19;12;31;16;49;49;37
杨家威;27;182.88;73.0;RM,LM,RW;China PR;60;220000.0;63;69;53;38;62;45;71;83;67
Amando Moreno;23;170.18;64.9;ST,LW;United States;66;290000.0;60;45;63;29;29;63;69;75;74
邱添一;30;193.04;82.1;CB;China PR;60;160000.0;15;45;52;23;29;48;80;78;60
Timothy Tillman;20;182.88;73.9;CAM,LW,RW;Germany;73;400000.0;49;65;69;45;49;68;68;66;69
Zachary Elbouzedi;20;154.94;69.9;CAM;Republic of Ireland;73;400000.0;54;63;64;52;63;62;55;69;55
August Erlingmark;20;187.96;79.8;CM;Sweden;69;325000.0;49;60;54;33;56;62;56;67;60
Moritz Heinrich;21;154.94;74.8;LM,LW,CAM;Germany;68;300000.0;52;56;61;58;46;63;77;75;79
Regan Charles-Cook;22;175.26;68.9;CAM,CM;England;68;300000.0;48;61;62;48;53;60;84;81;82
Pau Rosales Rosales;19;182.88;77.1;CB;Spain;72;300000.0;28;46;30;27;40;37;58;57;59
Seth Paintsil;22;167.64000000000001;66.2;LM,LW;Ghana;66;280000.0;63;52;65;37;53;60;82;74;75
Iván Rojas;21;152.4;76.2;CDM;Colombia;71;325000.0;34;64;48;43;57;55;64;63;63
Petar Pusic;20;170.18;63.0;CM,CDM;Switzerland;72;350000.0;50;59;63;38;55;66;69;76;75
Pierre Fassnacht;23;154.94;78.9;LB;Germany;67;240000.0;27;53;52;39;39;51;67;67;66
Mazen Ali Abu Shararah;28;175.26;76.2;ST;Saudi Arabia;60;220000.0;62;57;58;35;44;51;72;71;69
Xavier Fabra Amorés;23;175.26;68.0;RM,LM;Spain;65;280000.0;57;62;64;62;58;61;63;62;60
Warren Tchimbembé;20;154.94;73.9;RM,LM,CAM;France;74;450000.0;63;68;66;28;64;65;76;70;72
Florian Faist;29;154.94;76.2;GK;Austria;60;140000.0;7;17;7;10;25;17;24;28;31
饭田 貴敬;24;152.4;73.0;RB;Japan;64;220000.0;34;51;58;26;50;63;70;77;67
Gökay Güney;19;154.94;72.1;CDM;Turkey;77;400000.0;36;72;59;45;59;59;65;51;60
Byron Moore;30;175.26;72.1;ST,RW;England;60;210000.0;61;60;63;33;43;57;82;75;83
Elvis Kamsoba;22;165.1;64.9;LW,RW;Burundi;69;325000.0;60;41;60;35;36;60;92;91;72
Cihan Topaloğlu;26;185.42;78.9;GK;Turkey;63;180000.0;8;20;13;10;16;15;21;33;26
张修维;22;172.72;64.0;CDM,CM,CAM;China PR;70;290000.0;46;66;58;43;59;60;64;83;75
Donald Love;24;152.4;72.1;RB;Scotland;67;240000.0;25;56;56;32;49;52;68;69;62
Jurre Vreman;21;187.96;78.0;CB;Netherlands;69;280000.0;26;33;38;33;46;40;62;64;41
Erlend Dahl Reitan;21;154.94;69.9;RB;Norway;71;300000.0;45;57;57;31;51;56;74;76;67
Fernando Núñez;23;175.26;69.9;RM;Argentina;68;300000.0;60;57;68;37;40;62;71;67;56
呉屋 大翔;25;152.4;68.0;ST;Japan;65;280000.0;65;59;60;40;32;56;62;64;66
Prince Emmanuel Doudu Besea;21;182.88;74.8;CM;Ghana;72;375000.0;43;63;63;48;59;64;64;68;71
Denver Hume;22;172.72;59.9;LB,RB;England;71;300000.0;29;56;61;31;37;60;67;65;52
이종원 李正皖;29;175.26;69.9;CM,CDM;Korea Republic;60;200000.0;54;60;61;62;57;61;71;59;72
Łukasz Kosakiewicz;28;175.26;71.2;LB,RM;Poland;60;170000.0;43;61;62;42;60;61;73;76;63
Batuhan Ahmet Şen;20;193.04;81.2;GK;Turkey;76;375000.0;7;24;8;11;15;15;20;31;37
Ben Wiles;19;175.26;66.2;CM,CAM;England;73;375000.0;44;66;61;41;60;63;72;72;75
福島 春樹;25;182.88;78.0;GK;Japan;64;190000.0;17;32;18;16;30;18;41;39;57
岩馆 直;30;182.88;78.0;GK;Japan;60;140000.0;12;27;18;12;16;19;21;31;29
Muhammed Emin Balcılar;22;170.18;66.2;ST;Turkey;68;300000.0;68;49;52;37;35;54;54;48;66
陶源;26;152.4;60.8;LW,RM;China PR;61;250000.0;55;40;62;47;37;59;83;86;66
Dennis Chessa;26;175.26;59.9;LM,LB;Germany;61;250000.0;38;62;60;37;57;62;73;68;75
Kieran O'Hara;22;190.5;78.0;GK;Republic of Ireland;68;230000.0;14;26;16;11;29;19;49;41;50
张思鹏;31;187.96;78.0;GK;China PR;60;130000.0;11;16;12;14;20;14;42;33;46
Arjen van der Heide;17;172.72;69.9;LW;Netherlands;79;400000.0;62;48;73;43;39;58;81;77;58
张晓彬;25;187.96;72.1;CM,CDM;China PR;64;270000.0;46;54;59;39;51;65;59;59;51
Samuel Habergham;27;182.88;73.0;LB;England;60;180000.0;27;56;54;65;53;56;54;55;64
David Aymerich;23;175.26;73.9;CM;Mexico;64;270000.0;38;70;71;47;70;58;76;71;71
Chris Odoi-Atsem;23;152.4;68.0;RB;United States;67;240000.0;39;58;60;48;53;58;79;78;78
Rhys Browne;23;175.26;74.8;LM,RM;Antigua & Barbuda;65;280000.0;47;54;61;33;50;58;92;87;72
Adam King;23;154.94;74.8;CM;Scotland;69;325000.0;54;64;58;41;61;61;64;66;73
Jonny Maxted;25;182.88;71.2;GK;England;65;200000.0;16;23;15;17;24;23;45;46;34
Marcus Vinícius Silva de Oliveira;34;182.88;72.1;RM;Brazil;60;100000.0;65;63;70;45;57;62;67;77;68
Sean Nealis;22;193.04;82.1;CB;United States;68;270000.0;28;55;39;26;27;55;58;64;55
Blagoy Makendzhiev;30;182.88;76.2;GK;Bulgaria;60;;11;29;16;10;23;16;42;48;34
Simon Asta;18;152.4;74.8;RB;Germany;81;400000.0;28;49;62;37;35;56;68;67;69
Ismail Musalami;30;175.26;66.2;CDM;Saudi Arabia;60;160000.0;37;61;59;49;57;61;58;56;53
Krystian Miś;22;182.88;73.0;LB;Poland;66;240000.0;20;52;55;25;55;54;85;86;87
Perry Ng;22;154.94;77.1;RB,CB;England;69;270000.0;35;57;49;44;47;48;69;67;56
柯钊;29;175.26;69.9;LWB,LM;China PR;60;160000.0;22;52;52;27;42;53;56;54;66
Julián Chicco;21;185.42;73.0;CDM,CM;Argentina;75;425000.0;34;60;54;35;54;61;57;63;62
Marco Hingerl;22;182.88;72.1;CM,CDM;Germany;69;325000.0;51;63;63;39;60;63;66;63;71
박창준 Chang Jun Park;22;175.26;64.9;RB;Korea Republic;68;260000.0;27;52;49;33;44;47;75;74;79
Nahuel Gallardo;21;152.4;72.1;LB;Argentina;72;325000.0;27;58;68;34;55;60;60;59;58
Dan Casey;21;182.88;84.8;CB;Republic of Ireland;73;350000.0;30;52;44;32;46;40;49;59;53
Offrande Zanzala;22;185.42;72.1;ST;Congo;70;350000.0;61;51;53;32;39;58;69;68;57
Martijn Berden;21;175.26;68.0;RW,LW;Netherlands;70;325000.0;56;54;64;37;56;66;70;69;69
Aramide Oteh;20;182.88;73.0;ST;England;76;450000.0;61;51;55;30;42;55;78;75;66
Percy Prado Ruiz;23;172.72;69.9;RB,CDM;Peru;69;270000.0;32;63;48;27;61;54;72;68;71
Rawez Lawan;31;152.4;78.0;CM,RM;Sweden;60;190000.0;55;58;62;63;64;68;65;69;75
김한길 金汉吉;23;152.4;68.9;RW;Korea Republic;65;280000.0;58;48;63;30;31;62;73;75;68
幸野 志有人;25;152.4;69.9;CAM,CM,ST;Japan;63;260000.0;55;56;60;50;58;63;67;62;48
Sam Jones;27;187.96;78.0;ST,CF;Wales;61;250000.0;60;66;53;35;58;55;77;77;65
Clayton Lewis;22;172.72;72.1;CAM,LM,CM;New Zealand;68;300000.0;53;60;61;38;53;60;78;72;76
Maciej Górski;29;182.88;74.8;ST;Poland;60;210000.0;59;57;67;33;35;60;80;79;78
Cantyn Chastang;20;182.88;78.0;CDM,RB;France;67;250000.0;38;64;57;35;58;64;62;65;59
Felix Agu;19;165.1;59.9;LB,RB,LW;Germany;74;375000.0;46;61;67;31;39;62;79;71;90
Valentin Henry;25;152.4;73.0;RB,LM;France;64;220000.0;59;60;64;40;59;61;74;74;72
Michael Kessel;34;175.26;69.9;LM,CAM;Germany;60;130000.0;45;59;63;45;55;62;66;74;80
冯劲;25;175.26;69.9;RM;China PR;62;260000.0;58;58;59;43;56;59;78;63;61
Jakub Bednarczyk;20;182.88;69.9;LM,LB;Poland;74;450000.0;49;56;66;46;52;62;67;67;68
Danny Pugh;36;182.88;76.2;CM,LB;England;60;90000.0;50;61;51;60;63;59;49;44;59
Greg Taylor;29;152.4;73.0;CB;England;60;170000.0;36;57;51;41;55;49;75;68;74
Leon Bätge;21;187.96;88.0;GK;Germany;70;260000.0;9;20;11;13;23;15;29;31;39
Weicheng Wang;27;154.94;64.9;CAM;China PR;61;240000.0;53;55;59;44;53;58;47;77;59
刘欢;30;182.88;73.9;LB;China PR;60;160000.0;30;57;45;25;53;61;63;58;53
Dimitar Evtimov;25;190.5;83.0;GK;Bulgaria;64;190000.0;15;24;14;17;27;24;35;29;32
Vangelis Theocharis;20;154.94;68.0;CM,CDM;Greece;70;325000.0;28;64;62;35;59;63;63;62;52
Iacopo La Rocca;35;187.96;77.1;CB;Italy;60;60000.0;46;59;52;52;53;55;44;36;36
Maks Barisic;24;187.96;83.9;RW,ST;Slovenia;67;290000.0;55;55;64;49;47;62;74;70;58
Habib Gueye;20;187.96;78.9;CB;Senegal;74;400000.0;28;59;40;26;57;51;60;58;42
Gerardo Alfredo Bruna Blanco;28;170.18;64.0;LM,CAM;Argentina;60;220000.0;56;59;62;61;58;64;64;61;73
Luca Ranieri;19;185.42;73.9;CB,LB;Italy;76;400000.0;31;38;68;41;36;47;58;64;59
Elliot Embleton;19;172.72;64.0;CM,RM;England;76;450000.0;43;62;57;60;59;61;65;58;62
Carlos Riascos;24;152.4;73.9;RB,LB;Colombia;67;240000.0;39;55;30;27;44;55;74;72;67
Nicolas Lüchinger;24;175.26;68.9;RB,RM;Switzerland;67;240000.0;17;49;68;39;38;66;72;74;63
George Taft;25;190.5;73.9;CB;England;63;220000.0;33;59;42;38;53;51;54;56;57
Sonny Patrick Laiton;19;198.12;79.8;GK;France;80;350000.0;8;17;14;12;17;15;50;44;64
Stuart Sinclair;31;170.18;67.1;CM;England;60;190000.0;52;61;57;46;56;58;79;69;59
Eric David Cantú Guerrero;20;170.18;59.9;CM,RM;Mexico;72;350000.0;43;63;64;35;61;60;69;70;67
Dinny Corcoran;30;182.88;82.1;ST;Republic of Ireland;60;210000.0;59;59;56;51;45;60;53;52;57
隋维杰;35;187.96;88.0;GK;China PR;60;50000.0;14;40;15;13;38;17;32;58;62
Gabriele Della Bernardina;20;187.96;79.8;CB;Italy;75;400000.0;21;50;42;27;44;44;59;65;48
Antonio Nava;19;170.18;63.0;RM;Mexico;77;425000.0;47;67;61;54;68;64;68;62;62
Gil Van Moerzeke;21;190.5;74.8;CB,RB;Belgium;69;280000.0;24;58;50;23;47;41;46;70;47
Joaquín Pereyra;20;154.94;71.2;CM,CAM,CDM;Argentina;77;450000.0;47;69;63;51;58;64;63;66;68
Abdul Rwatubyaye;22;185.42;78.9;CB;Rwanda;67;250000.0;16;34;28;28;24;32;68;65;50
Braian Alejandro Galván;18;165.1;64.9;ST,RW;Argentina;77;425000.0;60;62;63;32;58;58;83;72;73
Mehdi Merghem;21;152.4;69.9;CM;France;69;325000.0;50;64;64;50;58;62;73;68;76
Siad Haji;19;172.72;68.0;CAM,RM;Kenya;76;425000.0;50;63;59;42;60;57;70;75;67
Filip Sachpekidis;21;154.94;76.2;LM,RM;Sweden;72;375000.0;48;61;64;48;55;65;71;68;77
Ivar Sollie Rønning;26;193.04;84.8;ST;Norway;63;260000.0;63;49;47;34;37;51;58;61;54
坂 圭祐;23;175.26;72.1;CB;Japan;66;240000.0;28;40;28;27;36;35;67;67;54
Aaron Barry;26;154.94;77.1;CB;Republic of Ireland;64;230000.0;30;58;44;29;52;52;46;50;59
Fredrik Sjølstad;24;187.96;78.0;CDM;Norway;65;240000.0;28;64;60;42;63;61;72;71;54
Dominik Fitz;19;175.26;67.1;CAM;Austria;78;450000.0;50;66;63;44;57;65;73;69;78
松田 天馬;23;165.1;62.1;CAM,RW,LW,CF;Japan;66;280000.0;55;57;64;36;51;57;76;67;84
Hans Nunoo Sarpei;20;152.4;72.1;CDM;Ghana;71;300000.0;32;61;57;41;55;61;66;55;67
Mohamed Al Otaibi;25;170.18;58.1;LM;Saudi Arabia;62;250000.0;56;57;62;52;52;60;72;73;68
Robin  Lauwers;19;154.94;69.9;CAM;Belgium;72;350000.0;58;69;64;45;66;61;62;65;47
Federico Costa;30;187.96;88.9;GK;Argentina;61;160000.0;9;24;10;9;25;16;26;32;45
Andrew Tutte;28;175.26;74.8;CM;England;60;210000.0;62;61;60;60;58;59;61;64;52
Steff Kaptein;19;152.4;68.9;RM;Netherlands;71;325000.0;42;64;54;48;63;60;75;71;50
Mertcan  Açıkgöz;19;154.94;74.8;CM,CAM,RM;Turkey;73;375000.0;48;70;60;51;70;68;66;62;58
Kim Ove Norum Riksvold;25;182.88;73.0;RW,LW;Norway;63;260000.0;52;64;62;36;57;61;66;67;63
Jonas David;19;190.5;88.9;CDM,CB;Germany;79;375000.0;29;65;54;38;55;63;62;64;56
Kayne Ramsay;18;152.4;66.2;RB,CB;England;75;375000.0;29;41;59;34;34;47;72;70;61
김경민 Gyeong Min Kim;22;185.42;78.0;ST,RW;Korea Republic;70;350000.0;61;42;61;32;28;58;80;81;73
镰田 次郎;33;152.4;73.9;CB,RB;Japan;60;120000.0;24;53;24;23;40;52;55;55;58
Ellery Balcombe;19;182.88;76.2;GK;England;78;350000.0;10;17;10;13;29;15;40;40;45
Zachary Brault-Guillard;20;170.18;66.2;RB;Canada;74;400000.0;26;56;66;35;49;51;75;78;55
王飞;26;175.26;62.1;RB,RM,LB;China PR;62;210000.0;42;57;60;36;48;53;81;78;67
Maicol Giovanny Medina Medina;21;152.4;69.9;CDM;Colombia;72;325000.0;36;64;48;38;62;54;55;71;73
Johnny Hunt;28;154.94;64.9;LB;England;60;170000.0;48;55;52;53;51;54;67;63;60
Callum Cooke;22;172.72;72.1;CM;England;67;290000.0;50;60;59;56;56;62;58;60;63
Shuhei Matsubara;26;182.88;79.8;GK;Japan;62;180000.0;8;16;11;12;21;11;34;30;37
Robin Ziegele;21;185.42;81.2;CB;Germany;74;425000.0;24;45;37;34;41;44;54;54;63
Steve Arnold;29;185.42;83.9;GK;England;61;170000.0;11;27;11;20;26;17;32;30;39
Juan Pablo Segovia;29;185.42;88.9;CB;Argentina;60;160000.0;25;61;27;22;34;58;60;58;52
片山 瑛一;27;154.94;77.1;RB,CB;Japan;61;200000.0;36;61;58;31;61;54;67;60;56
Víctor Cabezas;21;185.42;78.9;GK;Colombia;74;375000.0;9;15;11;14;22;16;27;20;35
Fiacre Kelleher;22;190.5;79.8;CB;Republic of Ireland;66;240000.0;23;49;26;30;41;39;61;59;48
Jean-Claude Ngando;19;170.18;59.9;LW;Cameroon;71;325000.0;48;55;67;41;46;66;84;83;87
Sergio García Vázquez;21;187.96;79.8;GK;Spain;70;260000.0;18;26;20;13;32;28;49;54;41
Maxime Pélican;20;175.26;73.9;LW,ST;France;71;350000.0;62;55;68;43;47;63;60;65;59
Nicolás Hernández;21;154.94;73.9;CB;Colombia;73;350000.0;17;58;28;27;30;55;64;61;52
Imran Louza;19;152.4;64.9;LM;France;78;450000.0;48;68;64;43;57;54;69;66;53
Meris Skenderović;20;182.88;73.0;ST;Montenegro;73;400000.0;66;48;59;41;39;63;67;50;67
Elias Sørensen;19;187.96;77.1;ST,CF;Denmark;80;425000.0;64;48;57;62;31;53;72;73;62
Wan Kuzain Wan Kamal;20;152.4;73.0;CDM,CM;United States;74;400000.0;55;63;64;46;61;61;67;63;65
Mattia Viviani;18;154.94;67.1;CDM,CM;Italy;82;400000.0;44;63;57;54;59;60;69;71;64
Dannie Bulman;40;175.26;74.8;CM,CDM;England;60;50000.0;33;65;55;48;62;65;46;47;38
Martin Gneba;19;175.26;72.1;RW;France;73;400000.0;61;56;62;39;45;51;84;79;78
张萌祺;29;152.4;64.9;CDM;China PR;60;170000.0;31;58;42;42;55;53;76;76;72
Halicharan Narzary;24;152.4;73.9;LM,RM,ST;India;66;;59;44;62;61;31;60;80;77;71
姜宁;32;175.26;73.9;CM;China PR;60;180000.0;52;57;63;47;57;64;76;71;75
Danny Johnson;26;152.4;82.1;ST;England;62;260000.0;64;49;52;31;33;51;71;69;72
Robbie Willmott;28;175.26;77.1;CAM,RM,RWB;England;60;210000.0;51;56;62;57;43;60;83;84;83
Nicolás Capaldo;21;152.4;73.0;CM;Argentina;74;450000.0;51;68;60;45;68;60;67;69;63
Arbnor Fejzullahu;25;185.42;77.1;RB;Albania;65;230000.0;32;52;62;27;49;57;75;81;55
Namakoro Diallo;22;152.4;72.1;LB;France;70;290000.0;30;50;64;38;37;50;73;76;74
Marcos Hernán Peano;20;185.42;69.9;GK;Argentina;74;375000.0;10;26;16;14;22;17;25;28;40
Jaushua Sotirio;23;175.26;71.2;RW,LW;Australia;65;280000.0;49;54;59;33;49;58;86;86;88
前田 尚輝;24;175.26;66.2;CAM,RM,LM;Japan;64;270000.0;60;63;59;44;48;52;71;72;62
Mathew Stevens;21;154.94;73.9;ST;England;68;300000.0;62;45;56;33;41;58;66;69;68
Saeed Mohammed Al Dosari;27;152.4;59.9;RM,RB;Saudi Arabia;60;220000.0;41;60;55;39;54;65;72;72;74
Constantin Frommann;20;185.42;78.0;GK;Germany;74;375000.0;9;24;12;13;22;17;36;38;43
Nicolas Janvier;20;170.18;72.1;CAM,RM;France;77;450000.0;54;65;60;40;61;60;60;61;81
Evelio Cardozo;18;165.1;59.0;CAM,CM;Argentina;80;400000.0;47;65;60;49;59;58;70;63;69
Christian Joel Sánchez Leal;19;193.04;88.0;GK;Cuba;75;350000.0;6;24;10;11;30;15;29;21;32
Marcos Baselga García;20;152.4;68.9;ST,RW;Spain;74;450000.0;67;59;68;37;48;60;65;66;59
Vesel Demaku;19;152.4;72.1;CDM,CM;Austria;76;375000.0;28;62;49;37;61;58;53;52;66
Basim Al Baqi;29;185.42;88.9;GK;Saudi Arabia;61;170000.0;14;22;14;12;20;24;49;43;39
Malik Batmaz;18;154.94;77.1;ST;Turkey;73;375000.0;64;41;63;26;33;60;67;66;71
Adel Gafaiti;24;185.42;76.2;CB;Algeria;64;230000.0;22;46;35;24;32;48;53;54;48
铃木 雄斗;25;182.88;69.9;RM,CF;Japan;63;260000.0;66;63;57;43;53;51;68;70;62
Kenny Athiu;26;200.66;84.8;ST;South Sudan;63;260000.0;62;45;58;28;27;58;79;81;61
Jader Andrés Valencia Mena;19;187.96;79.8;ST;Colombia;79;425000.0;62;41;62;30;33;59;62;65;67
Andrew Putna;24;187.96;81.2;GK;United States;68;230000.0;5;27;12;14;29;11;22;28;32
林良铭;21;152.4;73.9;RM,LM,ST;China PR;73;400000.0;63;66;57;44;63;55;72;73;81
Evan Louro;23;190.5;102.1;GK;United States;67;210000.0;15;20;11;15;21;17;34;36;44
Marlon Versteeg;21;182.88;77.1;ST;Netherlands;66;290000.0;63;54;57;34;33;58;69;70;66
Jonathan Vergara Berrio;20;152.4;68.9;CAM,LW;Netherlands;72;350000.0;51;69;62;48;65;59;67;68;62
Jacob Karlstrøm;22;200.66;89.8;GK;Norway;72;290000.0;6;17;10;12;19;12;27;27;25
Mart Janssen;20;152.4;69.9;CB,RB;Netherlands;68;250000.0;22;42;41;32;33;39;67;65;42
Tyler Reid;21;185.42;86.2;RB;England;72;325000.0;31;37;62;43;29;43;72;74;58
Michael Eberwein;22;193.04;78.0;CAM,ST,CF;Germany;68;300000.0;62;59;59;44;47;61;65;77;51
Nick Cowburn;24;154.94;74.8;LB,RB;Australia;65;230000.0;27;57;55;29;55;55;64;62;62
Antony Kay;36;154.94;84.8;CDM,CB,CM;England;60;50000.0;51;63;46;60;59;59;31;33;55
Ismaël Camara;18;152.4;73.0;ST;France;76;425000.0;62;59;60;45;39;59;60;64;58
Alberto De Francesco;24;182.88;73.0;CM,CAM;Italy;67;290000.0;45;64;61;49;63;61;67;69;62
Victor van den Bogert;19;185.42;81.2;CB;Netherlands;71;290000.0;19;54;32;31;36;43;55;48;49
Michael Tonge;35;182.88;73.9;CM,CDM;England;60;90000.0;53;62;54;63;61;63;43;37;56
Strahinja Tanasijevic;21;182.88;72.1;CB;Serbia;66;240000.0;10;49;49;28;40;47;53;52;54
Adrián Real Canales;23;182.88;73.0;GK;Spain;68;230000.0;8;28;6;11;25;15;50;40;56
Diego Altamirano;21;152.4;73.0;LW;Spain;71;350000.0;59;57;62;42;45;60;65;69;59
Johnny Koutroumbis;21;182.88;73.0;RB,CB;Australia;66;240000.0;22;53;60;32;48;60;73;71;74
Cédric Zesiger;20;193.04;88.0;CB,LB;Switzerland;76;425000.0;33;43;32;22;46;47;69;71;47
Rayed Al Ghamdi;24;152.4;68.9;ST,RM;Saudi Arabia;67;300000.0;58;65;62;41;58;58;75;73;67
Timo Königsmann;21;182.88;86.2;GK;Germany;66;210000.0;15;39;21;16;34;26;48;47;35
Umberto Saracco;24;190.5;83.0;GK;Italy;66;210000.0;18;25;18;12;27;23;49;41;37
Philipp Kühn;26;187.96;93.9;GK;Germany;63;180000.0;15;23;18;16;24;24;33;31;37
Francesco Rossi;27;193.04;83.0;GK;Italy;64;180000.0;11;17;21;22;12;19;22;21;55
Peter Vincenti;32;193.04;76.2;RM,LM;England;60;180000.0;59;60;61;42;49;60;56;56;63
Joy Mukena;19;182.88;72.1;CB;Belgium;73;325000.0;21;39;31;33;30;38;61;52;50
Matis Carvalho;19;187.96;79.8;GK;Portugal;73;300000.0;8;27;8;13;25;19;37;38;36
Øyvind  Alseth;24;182.88;77.1;RB;Norway;66;240000.0;36;58;58;36;43;56;70;76;60
Bradley Halliday;23;154.94;68.0;RB;England;65;230000.0;33;57;61;37;54;58;74;72;80
Ali Majrashi;19;170.18;64.0;RB;Saudi Arabia;74;375000.0;28;45;51;29;20;48;75;89;77
Kiernan Dewsbury-Hall;20;152.4;69.9;CDM,CM;England;74;400000.0;41;58;48;51;53;58;63;56;64
Koby Arthur;23;167.64000000000001;68.0;RM,LM;Ghana;64;270000.0;50;57;61;46;54;50;82;83;81
Marlon Fossey;20;152.4;76.2;RB;United States;74;400000.0;40;57;63;26;41;59;79;85;75
Olufela Olomola;21;154.94;79.8;ST;England;70;350000.0;62;42;59;30;35;62;65;74;52
Lucas Gabriel Merolla;23;193.04;84.8;CB;Argentina;65;240000.0;25;46;27;24;37;42;31;48;30
龙成;23;185.42;77.1;CB,RB;China PR;64;230000.0;34;55;54;42;54;56;66;69;77
Mateusz Lis;22;193.04;83.0;GK;Poland;69;240000.0;9;22;13;11;16;12;27;27;37
Matías Donato;20;154.94;79.8;ST;Argentina;72;375000.0;67;54;49;28;34;58;48;55;51
Lennart Grill;20;190.5;87.1;GK;Germany;76;375000.0;5;24;10;8;20;12;38;43;40
Raúl Sánchez Sánchez;21;187.96;73.9;LM,LB;Spain;71;350000.0;56;62;62;49;54;66;62;67;55
Benjamín Mirelis;19;182.88;72.1;CB;Chile;73;350000.0;25;55;47;29;53;49;56;54;48
Evangelos Pavlidis;20;185.42;82.1;ST,LW;Greece;72;375000.0;59;51;65;44;45;62;63;67;68
Matthew  Taylor;37;152.4;73.0;LB,LWB,CDM;England;60;20000.0;48;65;60;78;67;66;33;29;44
Kaine Sheppard;25;190.5;79.8;ST;England;64;270000.0;61;44;58;32;44;55;67;65;51
Tim van de Berg;21;187.96;81.2;CB,RB,CDM;Netherlands;67;250000.0;21;45;37;27;42;45;58;43;48
Alex Whitmore;23;154.94;68.0;CB;England;65;240000.0;27;43;43;32;40;49;55;56;36
Anderson Darley Angulo Tenorio;22;193.04;74.8;CB;Colombia;73;350000.0;21;45;35;24;29;53;65;64;44
Santiago Patiño;21;185.42;82.1;ST;United States;73;400000.0;59;50;52;33;33;55;58;55;52
Kristian Böhnlein;28;182.88;78.0;CDM,LB;Germany;60;170000.0;56;53;42;49;42;55;62;55;63
廣永 遼太郎;29;185.42;82.1;GK;Japan;61;170000.0;9;21;8;13;25;11;31;19;26
Erlend Segberg;21;175.26;64.9;CM;Norway;73;400000.0;42;65;60;52;62;64;62;64;66
Alejandro Peláez;25;187.96;84.8;GK;Mexico;65;200000.0;17;37;21;18;29;24;40;41;37
Alessandro Bacci;23;190.5;88.0;GK;Italy;68;230000.0;6;26;10;13;19;17;25;34;36
Myeong Seok Go;23;187.96;77.1;CB;Korea Republic;70;290000.0;27;61;29;29;57;35;77;75;70
Damian Rasak;23;182.88;77.1;CDM;Poland;66;240000.0;41;63;58;39;60;59;64;66;68
Pablo Lombo Suárez;19;182.88;74.8;GK;Spain;69;230000.0;9;15;11;15;21;17;14;23;35
Gabriele Corbo;19;185.42;76.2;CB;Italy;80;375000.0;10;40;40;28;40;42;54;55;54
Nahuel Tenaglia;23;182.88;71.2;RB,CB;Argentina;68;260000.0;27;63;59;40;31;58;60;63;61
Ronaldo Ariza;21;170.18;64.0;LM;Colombia;66;290000.0;44;67;58;43;63;52;79;70;76
Gold Omotayo;25;193.04;88.9;ST;Switzerland;63;270000.0;53;57;44;22;35;52;67;65;49
Romain Armand;32;182.88;73.0;LW,LM;France;60;180000.0;61;55;58;43;43;65;62;66;71
Felix Hörberg;19;154.94;73.9;RM,RWB;Sweden;72;350000.0;39;60;65;48;52;65;72;60;64
Sebastián Pedroza;19;175.26;68.9;CAM;Colombia;75;450000.0;35;63;60;48;58;62;73;68;72
Ben Wilmot;19;187.96;79.8;CB;England;79;375000.0;16;46;16;28;53;40;50;51;43
Kyle Scott;21;172.72;59.9;CM;United States;74;450000.0;49;64;64;51;61;63;60;62;72
Joe Fryer;23;185.42;72.1;GK;England;66;210000.0;11;28;17;15;21;24;44;46;38
Joaquín Miralles Sanz;22;152.4;72.1;GK;Spain;67;210000.0;10;20;15;14;22;11;20;22;40
Ivar Erlien Furu;24;190.5;83.9;CB,LB;Norway;66;240000.0;29;53;37;25;49;56;50;50;56
